tconst	averageRating	numVotes
tt0000001	5.8	1383
tt0000002	6.5	162
tt0000003	6.6	971
tt0000004	6.4	98
tt0000005	6.2	1663
tt0000006	5.6	86
tt0000007	5.5	561
tt0000008	5.6	1487
tt0000009	5.5	66
tt0000010	6.9	4974
tt0000011	5.4	203
tt0000012	7.4	8283
tt0000013	5.7	1266
tt0000014	7.2	3616
tt0000015	6.2	625
tt0000016	5.9	937
tt0000017	4.8	190
tt0000018	5.5	402
tt0000019	6.6	13
tt0000020	5.0	223
tt0000022	5.1	718
tt0000023	5.7	894
tt0000024	5.8	19
tt0000025	4.8	17
tt0000026	5.7	1105
tt0000027	5.6	745
tt0000028	5.2	683
tt0000029	5.9	2375
tt0000030	5.3	572
tt0000031	5.6	664
tt0000032	5.2	282
tt0000033	5.6	705
tt0000034	5.7	98
tt0000035	5.8	46
tt0000036	4.5	405
tt0000037	4.7	34
tt0000038	4.3	124
tt0000039	4.6	11
tt0000040	4.3	29
tt0000041	6.7	1152
tt0000042	4.8	16
tt0000043	4.5	8
tt0000044	4.8	20
tt0000045	4.8	13
tt0000046	4.6	14
tt0000047	3.9	11
tt0000048	5.4	91
tt0000049	6.1	18
tt0000050	4.6	11
tt0000051	4.3	9
tt0000052	4.4	33
tt0000053	2.8	5
tt0000054	5.8	14
tt0000055	4.3	11
tt0000056	3.7	7
tt0000057	4.9	10
tt0000058	4.5	11
tt0000059	4.1	8
tt0000060	8.1	56
tt0000061	4.5	11
tt0000062	6.5	133
tt0000063	4.1	7
tt0000064	3.9	8
tt0000065	4.1	8
tt0000066	4.2	8
tt0000067	6.2	33
tt0000068	4.5	8
tt0000069	4.8	266
tt0000070	6.4	1851
tt0000071	4.0	11
tt0000072	4.7	9
tt0000073	4.5	8
tt0000074	4.6	12
tt0000075	6.3	1160
tt0000076	4.5	367
tt0000077	5.2	13
tt0000078	4.5	35
tt0000079	4.6	13
tt0000080	4.5	10
tt0000081	4.5	10
tt0000082	5.6	18
tt0000083	5.2	13
tt0000084	4.8	10
tt0000085	5.2	13
tt0000086	4.5	11
tt0000087	5.2	14
tt0000088	5.3	11
tt0000089	6.3	667
tt0000090	4.4	10
tt0000091	6.7	2069
tt0000092	5.4	8
tt0000093	5.2	54
tt0000094	4.7	10
tt0000095	5.3	15
tt0000096	5.2	8
tt0000097	5.4	14
tt0000098	6.1	15
tt0000099	5.3	11
tt0000100	5.3	24
